,company_name,status,country_code,state_code,days_in_op,first_funding_dayinop,sa_funded_daysop,cr_funded_daysop,ag_funded_daysop,ve_funded_daysop,CA,NY,MA,TX,WA,founded_month,ave_inf_y,sa_raised_amount_usd_adj,ag_raised_amount_usd_adj,ve_raised_amount_usd_adj,cr_raised_amount_usd_adj,software,Biotech,health,web,mobile,enterprise,hardware,advertising,security,manufacturing,social,semiconductor,medical,consulting,education,search,messaging,news,transportation,fashion
7940,ProteoGenix,operating,USA,CA,5085.0,1899.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,17.16969697,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7941,Proteon Therapeutics,ipo,USA,MA,5450.0,2439.0,2439.0,0.0,0.0,3875.0,0,0,1,0,0,1,16.88888889,8400000.0,0.0,10640000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7942,proteonomix,operating,USA,NJ,7642.0,6289.0,6289.0,0.0,0.0,0.0,0,0,0,0,0,1,14.39393939,2282994.6,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7943,ProteoTech,operating,USA,WA,7277.0,4866.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,14.84848485,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7944,Proterra,operating,USA,SC,4355.0,2351.0,0.0,0.0,0.0,2351.0,0,0,0,0,0,1,18.08080808,0.0,0.0,15000000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7945,Proteus Digital Health,operating,USA,CA,5450.0,120.0,0.0,0.0,0.0,3286.0,1,0,0,0,0,1,16.88888889,0.0,0.0,17814985.299999997,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7946,Proteus Industries,operating,USA,MA,5450.0,2874.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,16.88888889,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7947,ProThera Biologics,operating,USA,RI,5450.0,4265.0,0.0,0.0,0.0,4265.0,0,0,0,0,0,1,16.88888889,0.0,0.0,525000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7949,Protiva Biotherapeutics,acquired,USA,WA,5816.0,2385.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,16.39393939,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7950,Proto Labs,ipo,USA,MN,6181.0,3518.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,15.82828283,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
